,Price[NIS],Property_type,City,Address,Rooms,Floor,Area[m^2],Parking_spots
0,1660000,Apartment,Holon,Anielewicz St. ,4.0,4.0,86,1
1,2180000,Apartment,Rehovot,Har HaTsofim St.  11,5.0,1.0,120,1
2,5700000,Apartment,Tel Aviv-Yafo,Nissim Aloni St.  4,3.0,22.0,115,2
3,1690000,Apartment,Rishon LeTsiyon,David Wolffsohn St. ,4.5,5.0,114,0
4,1420000,Apartment,Tel Aviv-Yafo,Sumkan St. ,2.5,3.0,65,0
5,4000000,Mini penthouse,Azor,Jabotinski St.  1,5.0,12.0,164,2
6,4550000,Cottage/house,Ness Ziona,HaTayasim St. ,5.0,3.0,180,4
7,1895000,Apartment,Holon,Laskov St. ,5.0,1.0,110,1
8,3600000,Apartment,Rishon LeTsiyon,Haim Hefer St.  9,5.0,22.0,175,2
9,2500000,Apartment,Bat Yam,Yitshak Sadeh St.  10,4.5,1.0,117,1
10,3090000,Garden apt,Tel Aviv-Yafo,Di Rossi St.  12,5.5,0.0,120,1
11,6800000,Cottage/house,Tel Aviv-Yafo,Even Sapir St. ,7.0,3.0,210,2
12,1470000,Apartment,Bat Yam,Berl Katzenelson St.  1,3.5,4.0,85,0
13,1680000,Apartment,Holon,Anielewicz St. ,35.0,4.0,80,1
14,5400000,Duplex,Tel Aviv-Yafo,Dultsin St.  6,6.0,4.0,150,0
15,1290000,Apartment,Tel Aviv-Yafo,Lehi Road  67,2.5,1.0,60,0
16,1430000,Apartment,Petah Tikva,Herzl St. ,3.5,1.0,90,0
17,2870000,Apartment,Tel Aviv-Yafo,Heihal HaTalmud St. ,2.0,1.0,53,0
18,7250000,Penthouse,Tel Aviv-Yafo,Israelis St. ,4.0,3.0,170,2
19,6700000,Penthouse,Bat Yam,Oskar Schindler St. ,5.0,8.0,150,0
20,1450000,Apartment,Rishon LeTsiyon,Khabad St. ,3.0,4.0,80,0
21,5700000,Penthouse,Rishon LeTsiyon,Heil HaTothanim St. ,5.0,20.0,165,3
22,2500000,Apartment,Tel Aviv-Yafo,Chayim Vital St. ,2.5,2.0,50,0
23,1450000,Apartment,Ashdod,Arieh Ben Eliezer St. ,4.0,1.0,100,0
24,1445000,Apartment,Bat Yam,HaShikma St. ,3.0,2.0,72,0
25,1745000,Garden apt,Holon,Yermiyahu St. ,4.0,0.0,40,0
26,5950000,Penthouse,Rishon LeTsiyon,Ahi Lahav St. ,5.0,22.0,350,3
27,2100000,Apartment,Rishon LeTsiyon,Grynszpan St. ,4.0,3.0,100,1
28,1730000,Apartment,Holon,Jericho St.  18,4.0,0.0,85,1
29,1490000,Apartment,Lod,HaTsanhanim St.  12,4.0,2.0,90,1
30,4400000,Apartment,Tel Aviv-Yafo,Hovevei Tsiyon St.  63,3.0,3.0,86,0
31,1470000,Apartment,Ramla,Teitlbaum St.  16,4.0,2.0,96,1
32,2150000,Apartment,Ramat Gan,Moshe Sharet St.  16,3.0,0.0,88,1
33,1950000,Apartment,Rehovot,Tova ve-Tuvya Miller St.  13,5.5,0.0,128,1
34,1649000,Apartment,Tel Aviv-Yafo,Maapilei Egoz St.  42,2.0,2.0,51,0
35,2850000,Cottage/house,Gedera,Dolev St.  47,5.5,3.0,170,2
36,1120000,Apartment,Petah Tikva,Yehuda Leib Pinsker St. ,3.0,4.0,70,0
37,1250000,Apartment,Rehovot,Derekh Yom ha-Kipurim ,3.0,2.0,75,0
38,1430000,Apartment,Lod,HaEla St.  3,4.0,7.0,115,1
39,1250000,Apartment,Lod,Albert Einstein St.  28,4.0,3.0,90,1
40,2250000,Apartment,Lod,HaEla St. ,5.0,3.0,160,1
41,1200000,Apartment,Lod,Gavriel St.  4,3.0,8.0,75,1
42,1160000,Apartment,Petah Tikva,Khayim Ozer St. ,2.0,1.0,65,0
43,1730000,Apartment,Bat Yam,Derech Ben Gurion ,3.0,4.0,75,0
44,3300000,Apartment,Tel Aviv-Yafo,Toscanini St. ,4.0,2.0,75,0
45,1150000,Penthouse,Ashdod,Mevo HaIrit  10,3.0,7.0,60,1
46,2750000,Apartment,Bat Yam,Yitshak Sadeh St. ,5.0,2.0,130,1
47,1930000,Duplex,Lod,Shikma St. ,5.0,1.0,160,1
48,2690000,Apartment,Bat Yam,Anne Frank St.  12,5.0,10.0,115,1
49,4090000,Apartment,Rishon LeTsiyon,Kheil ha-Khimush St.  38,5.0,10.0,260,3
50,1690000,Garden apt,Holon,Pierre Koenig St. ,3.0,0.0,70,1
51,1699000,Apartment,Bat Yam,Masaryk St.  7,3.0,1.0,73,1
52,950000,Apartment,Lod,Eli Cohen St.  14,3.0,0.0,60,0
53,2120000,Apartment,Bat Yam,Ha-Sar Shapira St. ,4.0,6.0,89,1
54,2300000,Apartment,Bat Yam,Ha-Reshet St. ,5.0,3.0,120,1
55,5750000,Apartment,Tel Aviv-Yafo,Sderot Levi Eshkol  47,5.0,6.0,128,2
56,1370000,Apartment,Ashdod,Mevo Elkalai ,3.0,4.0,100,1
57,1240000,Apartment,Bat Yam,Kinneret St. ,2.0,2.0,60,0
58,4720000,Cottage/house,Rishon LeTsiyon,Mivtsa Uvda St. ,6.0,4.0,370,2
59,3900000,Apartment,Bat Yam,Derech Ben Gurion ,4.0,2.0,105,1
60,5800000,Cottage/house,Rishon LeTsiyon,Yehodit and Elikum Nakhamoni St.  40,7.0,2.0,260,1
61,3100000,Penthouse,Rehovot,Moshe Fried St. ,6.0,6.0,166,2
62,4250000,Apartment,Tel Aviv-Yafo,Nissim Aloni St.  10,3.0,7.0,101,1
63,6200000,Apartment,Tel Aviv-Yafo,Nissim Aloni St.  10,3.5,16.0,145,2
64,1430000,Apartment,Bat Yam,Ha-Rav Herzog St. ,3.0,3.0,75,0
65,5790000,Apartment,Tel Aviv-Yafo,Nissim Aloni St.  6,4.0,10.0,134,2
66,3400000,Apartment,Bat Yam,Ha-Sar Shapira St.  44,6.0,7.0,145,1
67,4500000,Villa,Rishon LeTsiyon,Bernstein St. ,7.0,2.0,300,1
68,3100000,Apartment,Tel Aviv-Yafo,Derech Menachem Begin  144,3.0,19.0,66,1
69,1480000,Apartment,Ramla,HaEtrog St.  4,5.0,2.0,120,1
70,1650000,Apartment,Bat Yam,Tchernikhovski St. ,4.0,2.0,90,0
71,2450000,Apartment,Rishon LeTsiyon,Ha-Nakhshol St. ,4.0,4.0,105,1
72,3900000,Apartment,Rishon LeTsiyon,Lubman St.  5,6.5,3.0,180,2
73,1740000,Garden apt,Holon,Geulim St. ,3.0,0.0,75,1
74,1640000,Garden apt,Holon,Ha-Sigalon St. ,2.0,0.0,65,1
