,Price[NIS],Property_type,City,Address,Rooms,Floor,Area[m^2],Parking_spots
0,7100,Office,Rehovot,Moti Kind St.  1,8.0,9.0,158,2
1,5500,Office,Rehovot,Moti Kind St.  1,4.0,6.0,91,1
2,4500,Retail,Petah Tikva,Mohiliver St. ,1.0,0.0,40,0
3,2750,Retail,Bat Yam,Herzl St. ,2.0,0.0,40,0
4,21181,Office,Petah Tikva,Zeev Jabutinsky Road  100,10.0,7.0,359,4
5,4500,Retail,Rishon LeTsiyon,Rothschild St. ,1.0,0.0,20,0
6,3900,Office,Rishon LeTsiyon,Moshe Levi St.  11,3.5,6.0,73,4
7,15000,Retail,Rehovot,Yaakov St.  43,8.0,0.0,480,2
8,7000,Office,Ramat Gan,Abba Hillel Silver Road ,7.0,4.0,212,2
9,9020,Office,Petah Tikva,Mota Gur St.  9,8.0,2.0,164,2
10,5400,Retail,Petah Tikva,Khayim Ozer St. ,1.0,0.0,30,0
11,1900,Office,Petah Tikva,Magshimim St. ,1.0,2.0,17,0
12,8500,Industrial,Petah Tikva,Zeev Jabotinsky St. ,1.0,0.0,180,0
13,5000,Retail,Tel Aviv-Yafo,Dizengoff St.  50,1.0,2.0,35,0
14,4500,Office,Tel Aviv-Yafo,Ben Saruq St.  20,3.0,0.0,47,0
15,2300,Office,Petah Tikva,Mohiliver St. ,1.5,0.0,30,0
16,1900,Studio,Petah Tikva,Hahistadrut St. ,1.0,0.0,50,0
17,2500,Studio,Ness Ziona,Rothschild St. ,2.0,1.0,30,0
18,9000,Warehouse,Holon,Ha-Sadna St.  1,1.0,1.0,200,1
19,2700,Studio,Tel Aviv-Yafo,Shlomo Ibn Gabirol St.  105,1.0,0.0,41,0
20,4000,Office,Rishon LeTsiyon,Hahsharat HaYishuv St. ,1.0,3.0,114,1
21,8300,Office,Holon,Ha-Mashbir St. ,11.0,2.0,212,1
22,4500,Office,Holon,Ha-Mashbir St. ,5.0,2.0,100,0
23,20000,Industrial,Holon,Rabbi Akiva St.  33,1.0,0.0,1200,0
24,22000,Retail,Tel Aviv-Yafo,Shlomo Ibn Gabirol St.  64,1.0,0.0,67,0
25,24000,Office building,Tel Aviv-Yafo,HaMasger St.  28,20.0,2.0,464,0
26,16000,Retail,Jerusalem,Beit Ha-Defus St.  12,1.0,0.0,100,0
27,4400,Office,Bat Yam,HaRav Kokis St.  10,2.0,0.0,60,0
28,110,Retail,Rishon LeTsiyon,Pika St. ,1.0,0.0,103,1
29,110,Retail,Rishon LeTsiyon,Pika St. ,1.0,0.0,309,2
30,16000,Retail,Tel Aviv-Yafo,HaBarzel St. ,1.0,0.0,330,1
31,3700,Retail,Rehovot,Herzl St. ,1.0,0.0,19,0
32,6200,Office,Holon,Sokolov St.  130,2.0,0.0,48,0
33,6690,Office,Jerusalem,Shamai St. ,4.0,2.0,100,0
34,7000,Retail,Jerusalem,Yoel Moshe Salomon St. ,2.0,0.0,70,0
35,11200,Office,Herzliya,Abba Eban Boulevard ,4.0,4.0,140,6
36,13920,Office,Herzliya,Abba Eban Boulevard ,4.0,1.0,174,3
37,1600,Retail,Holon,Sokolov St. ,1.0,0.0,18,0
38,3000,Office,Holon,Zeev Jabotinsky St. ,2.0,0.0,35,0
39,5000,Retail,Bat Yam,Rothschild St.  30,1.0,0.0,77,0
40,13800,Office,Petah Tikva,Odem St. ,5.0,4.0,230,3
41,2900,Office,Petah Tikva,Herzl St. ,1.0,0.0,40,1
42,4100,Retail,Petah Tikva,Ha-Hagana St. ,1.5,0.0,48,0
43,4100,Office,Petah Tikva,Ha-Hagana St. ,1.5,0.0,48,0
44,5500,Land,Petah Tikva,Hovevei Tsiyon St. ,,,600,0
45,4500,Office,Bat Yam,Ha-Rav Nisanbaum St.  37,1.0,10.0,50,1
46,4700,Office,Tel Aviv-Yafo,Derech Menachem Begin  55,4.0,1.0,80,0
47,3850,Office,Tel Aviv-Yafo,Derech Menachem Begin  55,3.0,1.0,60,0
48,2204,Office,Bnei Brak,Bar Kochva St.  4,1.0,3.0,23,2
49,70000,Industrial,Holon,Halahav St.  11,7.0,2.0,1500,3
50,10900,Industrial,Holon,Halahav St.  11,1.0,3.0,220,3
51,13500,Office,Kefar Sava,HaTaas St.  20,10.0,2.0,309,0
52,1900,Office,Jerusalem,Ha-Soreg St.  2,1.0,5.0,16,0
53,2600,Office,Ramat Gan,Herzl St.  75,2.0,1.0,60,0
54,3000,Office,Tel Aviv-Yafo,Zeitlin St.  1,1.0,6.0,30,0
55,14900,Office,Bnei Brak,Bar Kochva St.  23,8.0,11.0,207,1
56,4900,Office,Tel Aviv-Yafo,HaBarzel St.  31,4.0,0.0,108,0
57,3000,Retail,Bat Yam,Balfour St. ,1.0,0.0,25,0
58,4500,Office,Bat Yam,Shimon Habursekai St. ,5.0,1.0,90,0
59,5500,Office,Bat Yam,Ha-Rav Nisanbaum St. ,3.0,7.0,40,0
60,18000,Retail,Bat Yam,Ehud Kinnamon St. ,1.0,0.0,180,3
61,6500,Retail,Bat Yam,Shaul Bar St. ,1.0,0.0,50,0
62,1400,Office,Jerusalem,Jaffa St.  97,2.0,2.0,25,0
63,4200,Retail,Bat Yam,Balfour St. ,1.0,0.0,32,0
64,4000,Retail,Tel Aviv-Yafo,Nahalat Binyamin St. ,1.0,0.0,33,0
65,13600,Office,Rishon LeTsiyon,Eliezer Mazal St. ,10.0,1.0,160,0
66,6500,Retail,Ramla,Sderot Herzl ,1.0,0.0,30,0
67,100,Office,Petah Tikva,Zeev Jabutinsky Road ,2.0,12.0,252,2
68,4500,Retail,Ramla,Sderot Herzl ,1.0,0.0,21,0
69,10000,Retail,Ramla,Sderot Herzl ,1.0,0.0,70,0
70,2800,Coworking space,Bnei Brak,Bar Kochva St.  4,23.0,3.0,512,3
71,1900,Office,Bnei Brak,Bar Kochva St.  4,1.0,3.0,36,2
72,1600,Retail,Tel Aviv-Yafo,HaKishon St.  42,1.0,0.0,16,0
73,10000,Retail,Tel Aviv-Yafo,Alfasi St.  2,5.0,1.0,200,1
74,10000,Office building,Bat Yam,Ha-Rav Nisanbaum St.  61,4.0,13.0,110,0
75,3000,Office,Tel Aviv-Yafo,Miconis St.  3,4.0,2.0,55,0
76,2900,Office,Tel Aviv-Yafo,Derech Menachem Begin  46,2.0,6.0,34,0
77,19000,Industrial,Bat Yam,Shimon Habursekai St. ,1.0,1.0,500,3
78,5800,Retail,Holon,Sokolov St.  44,1.0,0.0,150,0
79,8500,Retail,Holon,Sokolov St. ,1.0,0.0,200,0
80,6900,Office,Bat Yam,Ha-Rav Nisanbaum St. ,1.0,13.0,107,0
81,1800,Retail,Jerusalem,Ha-Eshkol St.  4,1.0,0.0,8,0
82,2500,Retail,Holon,Doctor Enrico Fabrigat St.  1,1.0,0.0,30,0
83,6250,Retail,Bnei Brak,Rabi Akiva St.  102,1.0,0.0,18,0
84,8500,Retail,Modiin-Maccabim-Reut,Emek Zvulun St.  24,1.0,2.0,63,2
85,20000,Retail,Tel Aviv-Yafo,Hei be-Iyar St. ,6.0,0.0,280,1
86,1600,Retail,Petah Tikva,Salor St.  4,1.0,0.0,15,0
87,3300,Retail,Bat Yam,Balfour St.  147,1.0,0.0,27,0
88,2900,Studio,Rishon LeTsiyon,Sderot Yaakov  24,1.0,0.0,20,0
89,10500,Office,Rishon LeTsiyon,Jabotinsky St.  65,6.0,1.0,182,0
90,4000,Office,Tel Aviv-Yafo,Druyanov St.  5,3.0,0.0,100,0
91,6500,Retail,Holon,Arye Shenkar St.  52,1.0,0.0,25,0
92,6660,Office,Modiin-Maccabim-Reut,HaReches Boulevard  13,5.0,5.0,111,0
93,7500,Warehouse,Rosh Haayin,Ha-Avoda St. ,1.0,1.0,245,0
94,22000,Warehouse,Rosh Haayin,Ha-Taasiya St. ,1.0,0.0,450,1
95,7700,Retail,Tel Aviv-Yafo,Elkalai St.  5,2.0,0.0,35,0
96,1800,Land,Tel Aviv-Yafo,Derekh Ben-Zvi  35,,,120,0
97,6250,Office,Kefar Sava,HaTaas St.  20,7.0,1.0,157,0
98,4000,Retail,Kefar Sava,Avraham Keren St.  36,3.0,0.0,52,1
