,Price[NIS],Status,City,Address
0,2100000,Planning,Ra'anana,Ostrovsky St. 20
1,1820000,Construction,Rishon LeTsiyon,Rashi St. 42
2,3250000,Construction,Rishon LeTsiyon,Barzilai St. 7
3,1950000,Construction,Rishon LeTsiyon,Khabad St. 6
4,1630000,Planning,Holon,Achi Dakar St. 6
5,1820000,Construction,Rishon LeTsiyon,Shmu'el Shrira St. 26
6,1650000,Construction,Netanya,HaRav Reines St. 5
7,4300000,Construction,Tel Aviv-Yafo,Sderot Ben Gurion 49
8,1950000,Construction,Rishon LeTsiyon,Tel Hai St. 27
9,1890000,Construction,Holon,Vulkani St. 4
10,1480000,Construction,Holon,Ha-Matmid St. 4
11,3760000,Planning,Tel Aviv-Yafo,Sderot Levi Eshkol 47
12,2300000,Construction,Rishon LeTsiyon,Olei HaGardom St. 52
13,3950000,Construction,Tel Aviv-Yafo,Kitzis St. 2
14,1770000,Construction,Holon,Yosef Barats St. 2
15,1900000,Construction,Rishon LeTsiyon,Tiomkin St. 6
16,1775000,Construction,Holon,Ge'ulim St. 52
17,1990000,Construction,Kiryat Ono,Pinkas St. 29
18,2000000,Construction,Netanya,MacDonald St. 14
19,2050000,Handover,Rishon LeTsiyon,Rashi St. 39
20,1475000,Construction,Bat Yam,Herzl St. 88
21,1619000,Construction,Ashkelon,Yefe Nof St. 28
22,2390000,Handover,Tel Aviv-Yafo,Kokhavei Yitskhak St. 7
23,1730000,Construction,Rehovot,Hazon Ish St. 20
24,1170000,Construction,Ashkelon,Savre Maranan 45
