,Price[NIS],Property_type,City,Address,Rooms,Floor,Area[m^2],Parking_spots
0,4500,Apartment,Ramat Gan,Ha-Nakhal St.  7,4.0,3.0,90,1
1,5400,Apartment,Givat Shmuel,Derech Keren HaYesod  3,5.0,1.0,110,0
2,4500,Apartment,Ramat Gan,Bialik St. ,3.5,2.0,86,1
3,4800,Housing unit,Herzliya,El Al St.  14,2.0,1.0,50,0
4,3800,Apartment,Rishon LeTsiyon,Reuven St.  1,3.0,3.0,65,0
5,7999,Apartment,Tel Aviv-Yafo,Nissim Aloni St.  10,3.0,10.0,75,2
6,15000,Villa,Mazkeret Batya,Sderot Rothschild ,9.0,2.0,402,3
7,3500,Apartment,Rehovot,Palmakh St.  28,3.0,0.0,60,0
8,3250,Housing unit,Rishon LeTsiyon,HaTut St.  10,2.0,0.0,35,0
9,3200,Housing unit,Rishon LeTsiyon,HaTut St.  10,2.0,0.0,32,0
10,3200,Apartment,Petah Tikva,Doctor Fogel Herman St. ,3.5,3.0,80,1
11,3500,Apartment,Petah Tikva,Yosefsberg St.  9,3.0,1.0,60,0
12,37000,Penthouse,Tel Aviv-Yafo,Sheinkin St. ,5.0,5.0,250,2
13,3000,Garden apt,Tel Aviv-Yafo,Matalon St. ,1.0,0.0,40,0
14,7000,Apartment,Tel Aviv-Yafo,Natan HaHaham St.  10,2.5,3.0,63,0
15,12000,Apartment,Tel Aviv-Yafo,Antokolski St.  12,5.5,1.0,165,0
16,16000,Duplex,Tel Aviv-Yafo,Sharabi St.  17,4.0,2.0,170,1
17,6850,Apartment,Tel Aviv-Yafo,Yehuda HaMakkabbi St.  30,3.0,1.0,75,0
18,6000,Apartment,Ramat Gan,Bar Kochva St.  22,4.0,2.0,130,1
19,2500,Apartment,Tel Aviv-Yafo,Israelis St. ,1.0,1.0,30,0
20,19000,Apartment,Tel Aviv-Yafo,Nitsana St. ,6.0,3.0,200,4
21,12800,Apartment,Tel Aviv-Yafo,Antokolski St.  12,5.5,1.0,165,0
22,4000,Apartment,Tel Aviv-Yafo,Shazar St.  61,3.0,3.0,71,0
23,12000,Apartment,Tel Aviv-Yafo,Vitkin St.  23,4.0,3.0,100,2
24,7500,Apartment,Tel Aviv-Yafo,Nissenboim St. ,3.0,2.0,67,1
25,10500,Apartment,Tel Aviv-Yafo,Shlomtsiyon HaMalka St.  44,4.0,2.0,115,0
26,7000,Apartment,Tel Aviv-Yafo,Nechemiah St.  6,2.0,2.0,60,2
27,7500,Apartment,Tel Aviv-Yafo,Zeev Jabotinsky St.  100,3.0,2.0,75,1
28,6500,Apartment,Tel Aviv-Yafo,Nissenboim St.  22,3.0,2.0,73,2
29,7400,Garden apt,Tel Aviv-Yafo,Shlomtsiyon HaMalka St.  22,3.0,0.0,75,0
30,12000,Duplex,Tel Aviv-Yafo,HaKongres St.  14,5.0,5.0,190,2
31,7200,Garden apt,Tel Aviv-Yafo,Shlomtsiyon HaMalka St.  44,3.0,0.0,75,0
32,7100,Apartment,Tel Aviv-Yafo,Ha-Melits St.  9,3.0,3.0,70,0
33,3700,Apartment,Petah Tikva,Yehuda ha-Levi St.  32,3.0,3.0,65,0
34,11500,Apartment,Tel Aviv-Yafo,Ha-Rav Nisim St.  9,3.0,5.0,97,1
35,7000,Penthouse,Petah Tikva,Etsel St. ,5.0,7.0,130,1
36,8700,Apartment,Tel Aviv-Yafo,Yirmeyahu St. ,3.0,2.0,80,0
37,3200,Apartment,Jerusalem,HaTsiyonut St.  9,3.0,1.0,72,0
38,1500,Apartment,Jerusalem,Shmuel ha-Navi St.  20,4.0,1.0,110,1
39,2800,Apartment,Bat Yam,Ha-Rishonim St. ,1.0,0.0,30,0
40,6500,Apartment,Tel Aviv-Yafo,Sderot Nordau ,2.0,2.0,70,0
41,3900,Apartment,Bat Yam,HaShikma St.  4,3.0,3.0,88,0
42,2800,Apartment,Rehovot,Rachel Hirshenzon St. ,2.0,4.0,40,0
43,5900,Apartment,Bat Yam,Arlozorov St.  56,5.0,1.0,120,0
44,3000,Apartment,Bat Yam,David Raziel St.  37,3.0,3.0,70,0
45,3700,Apartment,Bat Yam,Kibuts Galuyot St.  14,2.5,0.0,47,0
46,2700,Apartment,Bat Yam,Derech Ben Gurion  138,1.0,1.0,30,2
47,30000,Apartment,Tel Aviv-Yafo,Ha-Rav Nisim St.  9,7.0,28.0,290,3
48,30000,Apartment,Tel Aviv-Yafo,Nissim Aloni St.  12,7.0,12.0,290,3
49,3400,Housing unit,Ramat Gan,Mevo Mendes  1,2.0,0.0,40,0
50,6500,Apartment,Bat Yam,Rothschild St.  4,3.5,3.0,120,0
51,3750,Apartment,Bat Yam,Herzl St.  30,3.0,2.0,77,0
52,4000,Apartment,Holon,Ekhad be-Mai St. ,2.0,1.0,68,0
53,3000,Apartment,Bat Yam,Rothschild St.  27,1.0,9.0,30,0
54,7199,Apartment,Tel Aviv-Yafo,Nissim Aloni St.  10,3.0,7.0,75,4
55,3800,Apartment,Rehovot,Sderot Hen ,3.0,2.0,60,0
56,4000,Apartment,Rehovot,Zelkind Stolvov St. ,4.0,2.0,100,0
57,10500,Duplex,Tel Aviv-Yafo,Lili Menakhem St. ,5.0,2.0,160,2
58,5100,Apartment,Bat Yam,Derech Ben Gurion  99,2.0,19.0,50,1
59,13000,Mini penthouse,Bat Yam,Ha-Neviim St.  60,5.0,20.0,135,3
60,11500,Apartment,Tel Aviv-Yafo,Nissim Aloni St.  3,3.5,19.0,118,2
61,4600,Apartment,Bat Yam,Arlozorov St.  40,3.0,1.0,65,0
62,3600,Apartment,Bat Yam,Balfour St. ,2.0,1.0,35,0
63,4800,Apartment,Bat Yam,Rothschild St.  16,4.0,3.0,110,0
64,13000,Apartment,Tel Aviv-Yafo,Nissim Aloni St.  10,3.0,5.0,120,2
65,3200,Apartment,Ramla,Zahal St. ,3.0,3.0,64,1
66,5200,Apartment,Bat Yam,Ha-Sar Shapira St. ,4.0,3.0,90,0
67,2500,Housing unit,Ramat Gan,HaEm St.  29,1.0,0.0,16,0
68,4500,Apartment,Rishon LeTsiyon,HaSadeh St. ,3.5,3.0,80,1
69,6500,Apartment,Bat Yam,Ha-Rav Nisanbaum St.  39,4.0,30.0,110,1
70,3900,Apartment,Bat Yam,Jabotinsky St. ,2.0,6.0,60,0
71,5800,Apartment,Ramla,Yona Volakh St.  4,5.0,2.0,130,2
72,7000,Apartment,Rishon LeTsiyon,Rabi Yehuda ha-Nasi St.  23,5.0,2.0,129,2
73,4300,Apartment,Bat Yam,Derech Ben Gurion ,2.0,1.0,30,0
74,3700,Studio,Bat Yam,Rothschild St. ,2.5,2.0,65,0
75,5300,Apartment,Givatayim,Kiryat Yosef St. ,4.0,2.0,105,1
76,5300,Apartment,Yavne,HaSira St. ,5.0,1.0,130,2
77,3000,Apartment,Bat Yam,Rothschild St. ,2.5,2.0,65,0
78,4500,Apartment,Rishon LeTsiyon,HaSadeh St. ,3.5,3.0,80,1
79,4600,Apartment,Rishon LeTsiyon,Rabbi Kook St. ,4.0,2.0,94,1
80,2100,Apartment,Ramat Gan,Zeev Jabotinsky St. ,1.0,2.0,20,0
81,5900,Cottage/house,Bat Yam,Mivtsa Sinai St.  5,4.0,2.0,120,0
82,4700,Apartment,Bat Yam,Khatsor St. ,3.5,1.0,85,0
83,3600,Garden apt,Bat Yam,Balfour St. ,2.0,0.0,40,0
84,4400,Apartment,Rishon LeTsiyon,Ahiezer St. ,3.0,1.0,80,0
85,3800,Apartment,Bat Yam,Etsel St. ,2.0,2.0,45,1
86,3900,Apartment,Bat Yam,Arlozorov St. ,2.5,2.0,72,0
87,8100,Apartment,Tel Aviv-Yafo,Nissim Aloni St.  10,2.5,8.0,77,1
88,5700,Apartment,Ramat Gan,Sderot Yerushalayim ,3.0,6.0,60,1
89,2600,Apartment,Ramat Gan,Abba Hillel Silver Road ,1.0,1.0,27,0
90,8500,Cottage/house,Rishon LeTsiyon,HeHatsav St. ,4.0,3.0,220,1
91,4600,Apartment,Rishon LeTsiyon,Olei HaGardom St. ,4.0,2.0,100,2
92,4000,Apartment,Rishon LeTsiyon,Ha-Tomer St. ,3.0,1.0,75,1
93,3800,Apartment,Holon,Eilat St.  10,2.0,3.0,40,0
94,3900,Housing unit,Rishon LeTsiyon,Martin Buber St. ,3.0,0.0,75,0
95,2200,Apartment,Petah Tikva,Bar Kochva St. ,1.0,0.0,15,0
96,4900,Apartment,Bat Yam,Ha-Sar Shapira St. ,3.0,1.0,80,0
97,3900,Apartment,Bat Yam,Hasar Pinkas St. ,2.5,4.0,75,0
98,3500,Apartment,Petah Tikva,Ha-Atsmon St. ,3.0,4.0,75,0
99,5000,Apartment,Bat Yam,Masaryk St. ,3.0,8.0,85,1
100,3600,Apartment,Rishon LeTsiyon,Frishman St.  4,2.5,3.0,65,0
101,3100,Garden apt,Petah Tikva,Nahalat Tsvi St. ,2.0,0.0,70,0
102,3500,Apartment,Petah Tikva,Shalom Ash St. ,2.5,0.0,70,0
103,4200,Apartment,Tel Aviv-Yafo,Kehilat Riga St.  3,3.0,2.0,55,0
104,8000,Mini penthouse,Rishon LeTsiyon,Ha-Hityashvut St. ,5.0,8.0,125,2
105,6500,Apartment,Rishon LeTsiyon,Haim Hefer St.  9,5.5,14.0,140,1
106,4200,Apartment,Bat Yam,Arlozorov St. ,3.5,2.0,85,1
107,4100,Apartment,Rishon LeTsiyon,Rabbi Kook St.  3,3.0,1.0,72,1
108,6000,Apartment,Tel Aviv-Yafo,Kfar Giladi St. ,3.5,2.0,80,0
109,4900,Apartment,Holon,HaRav Yitshak HaLevi St.  21,4.0,2.0,90,1
110,5800,Cottage/house,Holon,Tchernikhovski St. ,4.0,1.0,180,0
111,8500,Apartment,Tel Aviv-Yafo,Basel St.  22,3.0,2.0,90,0
112,6500,Apartment,Rishon LeTsiyon,Haim Hefer St.  13,5.0,6.0,125,1
113,4800,Apartment,Rishon LeTsiyon,Itamar Ben Avi St. ,4.0,1.0,110,1
114,3500,Apartment,Bat Yam,Yerushalayim St.  79,2.0,1.0,65,0
115,3900,Apartment,Ramat Gan,Zeev Jabotinsky St. ,3.0,1.0,60,0
116,6930,Villa,Ramat Gan,Ha-Yarden St. ,4.0,1.0,110,0
117,3800,Apartment,Ramat Gan,Haroe St.  7,2.5,2.0,60,0
118,3400,Housing unit,Rishon LeTsiyon,Martin Buber St. ,2.0,0.0,35,0
119,4200,Apartment,Bat Yam,Tchernikhovski St. ,3.0,2.0,72,1
120,12000,Cottage/house,Jerusalem,Mekor Haim St.  16,2.0,1.0,80,0
121,5500,Apartment,Bat Yam,Herzl St.  54,3.0,5.0,75,1
122,4300,Housing unit,Rishon LeTsiyon,Ha-Mifras St. ,2.0,0.0,60,0
123,3650,Apartment,Holon,Brazaville St.  9,3.0,3.0,62,0
124,4200,Apartment,Holon,Alufei Tsahal St.  33,2.0,2.0,40,1
