listing_type,Property_type,Price,City,Address,Rooms,Floor,Area,Parking_spots
buy,Cottage/house,1850000,Ashkelon,HaMishna St. ,5.0,2.0,125,1
buy,Mini penthouse,1880000,Ashkelon,HaBustan St. ,5.0,8.0,150,1
buy,Cottage/house,1250000,Ashkelon,Aharon Kapakh St. ,5.0,1.0,150,3
buy,Cottage/house,2900000,Ashkelon,Hatsiyyonut Boulevard ,6.0,2.0,200,1
buy,Mini penthouse,1760000,Ashkelon,Sivan St. ,5.0,3.0,140,1
buy,Mini penthouse,1260000,Ashkelon,Sderot Emek Hefer ,3.0,4.0,91,2
buy,Apartment,1779000,Netanya,Tom Lantos Boulevard  53,4.0,3.0,107,1
buy,Cottage/house,2050000,Tiberias,Rakefet St. ,5.0,3.0,200,2
buy,Apartment,1430000,Petah Tikva,Herzl St. ,3.5,1.0,90,0
buy,Apartment,2800000,Raanana,Herzog St.  16,5.0,5.0,140,1
buy,Apartment,1450000,Rishon LeTsiyon,Khabad St. ,3.0,4.0,80,0
buy,Apartment,2700000,Beer Sheva,Asirey Tsiyon St.  33,10.0,1.0,216,0
buy,Penthouse,5700000,Rishon LeTsiyon,Heil HaTothanim St. ,5.0,20.0,165,3
buy,Apartment,1450000,Ashdod,Arieh Ben Eliezer St. ,4.0,1.0,100,0
buy,Apartment,1445000,Bat Yam,HaShikma St. ,3.0,2.0,72,0
buy,Garden apt,1745000,Holon,Yermiyahu St. ,4.0,0.0,40,0
buy,Penthouse,5950000,Rishon LeTsiyon,Ahi Lahav St. ,5.0,22.0,350,3
buy,Duplex,950000,Migdal HaEmek,Ha-Kharuv St. ,5.0,3.0,127,1
buy,Apartment,1750000,Netanya,Ben Tsvi Boulevard  87,4.0,8.0,102,1
buy,Penthouse,3175000,Rishon LeTsiyon,HaAhim Yaakobi St. ,5.0,1.0,295,2
buy,Apartment,1440000,Rishon LeTsiyon,Yehuda St. ,3.5,1.0,75,1
buy,Apartment,1685000,Rishon LeTsiyon,Shlomo Molkho St. ,4.0,2.0,100,1
buy,Apartment,1725000,Rishon LeTsiyon,Rabi Yosef Karo St. ,4.0,1.0,95,1
buy,Penthouse,3175000,Rishon LeTsiyon,Even Shoshan St. ,5.0,1.0,295,2
buy,Apartment,1499000,Rishon LeTsiyon,Dror St. ,4.0,1.0,90,1
buy,Apartment,3600000,Rishon LeTsiyon,Haim Hefer St.  9,5.0,22.0,175,2
buy,Cottage/house,6800000,Tel Aviv-Yafo,Even Sapir St. ,7.0,3.0,210,2
buy,Apartment,1985000,Ness Ziona,HaBanim St. ,4.0,1.0,110,1
buy,Apartment,1895000,Holon,Laskov St. ,5.0,1.0,110,1
buy,Apartment,1680000,Holon,Anielewicz St. ,35.0,4.0,80,1
buy,Duplex,5400000,Tel Aviv-Yafo,Dultsin St.  6,6.0,4.0,150,0
buy,Apartment,1290000,Tel Aviv-Yafo,Lehi Road  67,2.5,1.0,60,0
buy,Apartment,1660000,Holon,Anielewicz St. ,4.0,4.0,86,1
buy,Apartment,2180000,Rehovot,Har HaTsofim St.  11,5.0,1.0,120,1
buy,Apartment,5700000,Tel Aviv-Yafo,Nissim Aloni St.  4,3.0,22.0,115,2
buy,Apartment,1290000,Holon,Zion Gate St. ,3.0,3.0,60,0
buy,Apartment,2050000,Bat Yam,HaRav Kuk St. ,5.0,2.0,110,1
buy,Apartment,1650000,Rishon LeTsiyon,David Wolffsohn St. ,4.5,5.0,114,0
buy,Apartment,1420000,Tel Aviv-Yafo,Sumkan St. ,2.5,3.0,65,0
buy,Apartment,1925000,Rehovot,Har HaTsofim St. ,5.0,6.0,112,1
buy,Apartment,2870000,Tel Aviv-Yafo,Heihal HaTalmud St. ,2.0,1.0,53,0
buy,Penthouse,7250000,Tel Aviv-Yafo,Israelis St. ,4.0,3.0,170,2
buy,Apartment,4250000,Tel Aviv-Yafo,Merkaz Baalei Melaha St.  13,3.0,1.0,85,0
buy,Apartment,1430000,Petah Tikva,Herzl St. ,3.5,1.0,90,0
buy,Apartment,1450000,Rishon LeTsiyon,Khabad St. ,3.0,4.0,80,0
buy,Penthouse,5700000,Rishon LeTsiyon,Heil HaTothanim St. ,5.0,20.0,165,3
buy,Apartment,1450000,Ashdod,Arieh Ben Eliezer St. ,4.0,1.0,100,0
buy,Apartment,1445000,Bat Yam,HaShikma St. ,3.0,2.0,72,0
buy,Garden apt,1745000,Holon,Yermiyahu St. ,4.0,0.0,40,0
buy,Penthouse,5950000,Rishon LeTsiyon,Ahi Lahav St. ,5.0,22.0,350,3
buy,Penthouse,3175000,Rishon LeTsiyon,HaAhim Yaakobi St. ,5.0,1.0,295,2
buy,Apartment,1440000,Rishon LeTsiyon,Yehuda St. ,3.5,1.0,75,1
buy,Apartment,1685000,Rishon LeTsiyon,Shlomo Molkho St. ,4.0,2.0,100,1
buy,Apartment,1725000,Rishon LeTsiyon,Rabi Yosef Karo St. ,4.0,1.0,95,1
buy,Penthouse,3175000,Rishon LeTsiyon,Even Shoshan St. ,5.0,1.0,295,2
