listing_type,Price,City,Address,Status
new homes,1820000,Rishon LeTsiyon,Rashi St. 42,Construction
new homes,3250000,Rishon LeTsiyon,Barzilai St. 7,Construction
new homes,1950000,Rishon LeTsiyon,Khabad St. 6,Construction
new homes,1630000,Holon,Achi Dakar St. 6,Planning
new homes,1820000,Rishon LeTsiyon,Shmu'el Shrira St. 26,Construction
new homes,4300000,Tel Aviv-Yafo,Sderot Ben Gurion 49,Construction
new homes,1950000,Rishon LeTsiyon,Tel Hai St. 27,Construction
new homes,1890000,Holon,Vulkani St. 4,Construction
new homes,1480000,Holon,Ha-Matmid St. 4,Construction
new homes,3760000,Tel Aviv-Yafo,Sderot Levi Eshkol 47,Planning
new homes,2350000,Rishon LeTsiyon,Olei HaGardom St. 52,Construction
new homes,3950000,Tel Aviv-Yafo,Kitzis St. 2,Construction
new homes,1770000,Holon,Yosef Barats St. 2,Construction
new homes,1775000,Holon,Ge'ulim St. 52,Construction
new homes,1990000,Kiryat Ono,Pinkas St. 29,Construction
new homes,2050000,Rishon LeTsiyon,Rashi St. 39,Handover
new homes,1475000,Bat Yam,Herzl St. 88,Construction
new homes,2390000,Tel Aviv-Yafo,Kokhavei Yitskhak St. 7,Handover
new homes,1730000,Rehovot,Hazon Ish St. 20,Construction
new homes,2100000,Ramat Gan,Simtat HaShilo'ah 10,Planning
new homes,1840000,Rishon LeTsiyon,Manya Shohat St. 9,Construction
new homes,2100000,Rishon LeTsiyon,Vitkin St. 8,Construction
new homes,1900000,Rishon LeTsiyon,Tiomkin St. 6,Construction
