listing_type,Property_type,Price,City,Address,Rooms,Floor,Area,Parking_spots
rent,Apartment,12000,Tel Aviv-Yafo,HaKongres St. ,4.0,6.0,126,1
rent,Apartment,4500,Ramat Gan,Ha-Nakhal St.  7,4.0,3.0,90,1
rent,Apartment,4500,Ramat Gan,Bialik St. ,3.5,2.0,86,1
rent,Housing unit,4800,Herzliya,El Al St.  14,2.0,1.0,50,0
rent,Apartment,3800,Rishon LeTsiyon,Reuven St.  1,3.0,3.0,65,0
rent,Apartment,7999,Tel Aviv-Yafo,Nissim Aloni St.  10,3.0,10.0,75,2
rent,Apartment,3200,Jerusalem,HaTsiyonut St.  9,3.0,1.0,72,0
rent,Apartment,4500,Ramat Gan,Beit Horon St.  16,2.5,1.5,72,0
rent,Apartment,8000,Tel Aviv-Yafo,Yehuda Gur St. ,4.0,4.0,90,1
rent,Apartment,3800,Bat Yam,Henrietta Szold St.  13,3.0,1.0,65,0
rent,Apartment,6000,Herzliya,Bnei Binyamin St.  14,3.5,2.0,100,1
rent,Apartment,20000,Tel Aviv-Yafo,Pines St.  39,4.0,23.0,140,2
rent,Apartment,16500,Tel Aviv-Yafo,Pines St.  41,3.0,22.0,126,2
rent,Apartment,27000,Tel Aviv-Yafo,Rothschild Boulevard  17,4.0,11.0,173,2
rent,Apartment,29000,Tel Aviv-Yafo,J. L. Gordon St. ,4.0,3.0,150,2
rent,Apartment,14000,Tel Aviv-Yafo,Rothschild Boulevard  30,3.0,9.0,85,1
rent,Apartment,15500,Tel Aviv-Yafo,Rothschild Boulevard ,3.5,3.0,113,2
rent,Apartment,17000,Tel Aviv-Yafo,HaYarkon St. ,4.0,2.0,1,1
rent,Apartment,13000,Tel Aviv-Yafo,HaYarkon St.  29,2.0,10.0,67,1
rent,Apartment,5400,Rehovot,Hazon Ish St.  30,4.5,4.0,1104,1
rent,Apartment,3700,Petah Tikva,Yehuda ha-Levi St.  32,3.0,3.0,65,0
rent,Garden apt,12500,Tel Aviv-Yafo,Lili Menakhem St. ,5.0,0.0,160,2
rent,Apartment,9500,Tel Aviv-Yafo,Ptakhya mi-Regensburg St. ,4.5,1.0,170,1
rent,Apartment,5650,Tel Aviv-Yafo,Meor HaGola St.  3,3.0,3.0,63,1
rent,Cottage/house,7500,Tel Aviv-Yafo,Kam St.  31,4.5,1.0,111,0
rent,Apartment,250,Jerusalem,Moshe Kol St.  56,4.0,0.0,110,0
rent,Apartment,5000,Holon,Bialik St. ,4.0,1.0,115,2
rent,Garden apt,6900,Modi'in-Maccabim-Re'ut,Nahal Na'aman St.  9,4.0,0.0,120,1
rent,Apartment,3500,Bat Yam,Kinneret St. ,2.0,3.0,65,0
rent,Apartment,4000,Bat Yam,Khaviva Reik St. ,2.5,3.0,65,0
rent,Apartment,3700,Bat Yam,Khaviva Reik St. ,2.0,0.0,60,0
rent,Apartment,3650,Bat Yam,Bar Ilan St.  25,3.0,1.0,82,0
rent,Apartment,3100,Bat Yam,Herzl St. ,1.0,3.0,40,0
rent,Apartment,6500,Rishon LeTsiyon,Saadiya ve-Yosef Bashari St. ,4.0,4.0,105,2
rent,Apartment,3850,Bat Yam,Arlozorov St. ,2.5,2.0,70,0
rent,Apartment,5800,Herzliya,Ha-Sharon St.  20,4.0,3.0,130,1
rent,Apartment,18000,Jerusalem,Habad St.  42,5.0,0.0,160,1
